page,reference,text
140,PDF page 140,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
115  
 
the identified geo -hazards is low, the alignment has been kept at -grade/embankments with the 
protection measures like snow galleries as and where required. 
The distribution of various types of structu res along the alignment along with identified geo -hazard 
and ground types are shown in Table 6.11.  
Table  6-9 : Ground Types along Alignment 
Chainage (m) Component Identified Ground 
Type Remarks 
From To 
9760 9796 Open Highway GT-1   
9796 10106 Cut & Cover GT-2 Across Avalanche Sites SL-32 
10106 10276 Open Highway GT-1+GT-3 Across Avalanche Sites SL-33 
10276 10506 Cut & Cover GT-2 Across Avalanche Sites SL-34 
10506 11256 Open Highway GT-1+GT-3   
11256 11506 Cut & Cover GT-2 Across Avalanche Sites SL-35 
11506 13006 Open Highway GT-2+GT-3   
13006 13406 Cut & Cover GT-2 Across Avalanche Sites SL -39 (Ranga 
Mor) 13406 14006 Open Highway GT-2+GT-3   
14006 14356 Cut & Cover GT-2 Across Avalanche Sites SL-41 
14356 14656 Open Highway GT-2+GT-3  
14656 14856 Cut & Cover GT-2 Across Avalanche Sites SL-43 
14856 15306 Open Highway GT-2+GT-3   
15306 15766 Cut & Cover GT-2 Across Avalanche Sites SL-44 
15766 16356 Open Highway GT-2+GT-3 Across Avalanche Sites SL-45 
16356 16656 Snow Gallery GT-2  Across Avalanche Sites SL-46 
16656 16806 Cut & Cover GT-2  Across Avalanche Sites SL-47 
16806 16956 Snow Gallery GT-2  Across Avalanche Sites SL-47 
16956 17172.5 Open Highway GT-3  
17172.5 17307.5 Bridge GT-1+GT-3  
17307.5 17814 Open Highway GT-2+GT-3  
6.6 AVALANCHE PROTECTION MEASURES   
In view of the identified geo -hazarads falling in open highways and embankments, avalanche 
protection measures are required. The major geo-hazards where protection measures would be 
required are as follows: "
141,PDF page 141,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
116  
 
1. Avalanche/Debris Flow: Catch Dam/Deflection Dam of maximum 8m height as suggested by 
SASE. 
2. Air Blast: Wall of maximum 4m height as recommended by SASE. 
3. Avalanche Galleries 
Draft Report on Conceptual Layout of Avalanche Protection Structures recommended by SASE is 
attached as Annexure-I to this report. 
6.6.1 CATCH DAMS 
Catch dams are in general provided in run out zones to catch the very slow moving avalanche debris. 
Five major catch dam s are required along the alignment particularly in open road stretches. The 
locations of these dams are listed in below Table6.12.  
Table 6-10: Chainages for catch dams 
Chainage (km) App. Catch Dam Length (m) Avalanche Site ID 
15.75 to 16.35 600 SL-45 
17.3 to 17.55 250 N-14 
 
 
Typical Section of Catch Dam is shown in Figure 6.26. 
 
 
Fig. 6-20:- Typical Section of Catch Dam 
 
 
6.6.2 DEFLECTION DAMS 
Deflection dams are in general provided guide the moving avalanche debris in a particular direction. 
Along the alignment, these are required to deflect the debris from the cut & cover section portal 
locations, snow gallery’s start and end point locations a nd protection of major bridges. Thirteen 
"
142,PDF page 142,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
117  
 
locations have been identified by SASE where deflection dams are required. The locations of these 
dams are listed in below Table6.13. 
Table 6-11: Chainages for deflection dams 
Chainage (km) App. Dam Length (m) Avalanche Site ID 
9.8 to 10.05 Two Dams each of 50m length Portals of Cut & cover at SL-33 
10.5 to 10.6 100m Portal of Cut & cover at SL-34 
11.15 to 11.6 Two Dams each of 100m length Portals of Cut & cover at SL-36 
13 to 13.4 Two Dams each of 75m length Portals of Cut & cover at SL-39 
14 to 14.35 Two Dams each of 75m length Portals of Cut & cover at SL-42 
14.6 to 14.9 Two Dams each of 100m length Portals of Cut & cover at SL-43 
15.3 to 15.75 100m  Portal of Cut & cover at SL-44 
16.9 150m SL-47, Baltal Bridge Protection 
 
Typical Section of Deflection Dam is shown in Figure 6.27. 
 
 
 
Fig. 6-21- Typical Section of Deflection Dams 
 
6.6.3 AIR BLAST PROTECTION WALL 
"
143,PDF page 143,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
118  
 
This is in general provided for protection from direct impact of air blast on moving vehicles. Along 
the alignment, these are required in the open highway stretches. Seven locations have been 
identified by SASE where these walls would be required. The locations are listed in below Table6.14.  
Table 6-12: Chainages for Air Blast Deflection Wall 
Chainage (km) App. Wall Length (m) Avalanche Site ID 
4.02 to 4.2 175 SL-26 
9.1 to 9.25 150 N4 
10.05 to 10.3 250 N6 
12.1 to 12.3 200 N7 
12.5 to 13 475 N8 
13.4 to 14 600 N9 
14.35 to 14.65 300 N10 
14.8 to 15.3 450 N11 and N12 
 
6.7.2. Avalanche Gallery 
Two numbers of Avalanche  Galleries are proposed to protect from SL-46 (300m straight snow gallery) and SL-
47 (150m curved snow gallery) as recommended by SASE. 
Typical Section of Avalanche Gallery is shown in Figure 6.28. 
 
 
Fig.  6-22- Typical Section of Snow Gallery 
Detailed Design of Avalanche Gallery is give in Volume II Design Report of   Avalanche Galleries. 
"
144,PDF page 144,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
119  
 
6.7 CONCLUSIONS 
Based on the geological mapping, investigations and assessment, following conclusions have been 
made: 
1. Existing highway is passing through 15 identified avalanche sites (By SASE) in between 
Sonamarg and Baltal. Highway remains blocked during winter season due to heavy snow, 
avalanche triggering, debris flow along most of the drainages and debris slides during 
winter/monsoon.  
2. All-weather connectivity of the road is to be ensured of the highway on all the 365 days of the 
year considering its strategic importance by ensuring snow shelter and avalanche protection. 
3. Proposed Highway alignment is a composite structure comprising tunnels, cut & cover 
sections, high embankments, open highway, snow galleries, bridges and a viaduct. 
4. Selection of structures is based on the identified ground types and geo-hazards. Underground 
structures are preferred in major geo-hazard prone area.  
5. Open highway stretches are protected with suitable avalanche protection structures like 
catch/deflection dams against the avalanche flow, and air blast protection wall.  
6. The cut & cover sections are proposed in debris flow identified stretches. The slope cuts would 
be in overburden, and hence, suitable protection measures for temporary slopes with piles 
have been proposed. The foundation of the section will be on overburden with a bearing 
capacity of 10 t/m2, and hence, has been designed with raft foundation.  
7. Snow galleries have been proposed in identified avalanche sites of SL-46 and SL-47, where its 
foundation will lie on overburden with a bearing capacity of 10 t/m 2, and hence, have been 
designed with raft foundation. The backslope cuts will also lie in overburden and suitable 
temporary measures will be provided.  
8. The foundation of bridge will lie in RBM (River Borne Material), and hence, are designed 
accordingly.  
9. High embankment zones founded either on RBM or debris fans are designed appropriately 
for low bearing capacity of 10 t/m2.  
10. The slope along the highway in open stretches will be cut mostly in overburden of colluvium 
and debris fans. The maximum height would be about 10m and stabilisation with 
breast/retaining walls is proposed. "
145,PDF page 145,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
120  
 
7 CHAPTER-7 DESIGN OF TUNNEL  
7.1 CUT & COVER TUNNELS 
8 Nos. of Cut & Cover Sections are identified along the project road to protect from Avalanches. The 
details of the cut & cover sections are as follows: 
Chainage (m)      
Length (m) 
Component Remarks 
From To 
9796 10106 310 Cut & Cover Across Avalanche Sites SL-32 
10276 10506 230 Cut & Cover Across Avalanche Sites SL-34 
11256 11506 250 Cut & Cover Across Avalanche Sites SL-35 
13006 13406 400 Cut & Cover Across Avalanche Sites SL -39 
(Ranga Mor) 
14006 14356 350 Cut & Cover Across Avalanche Sites SL-41 
14656 14856 200 Cut & Cover Across Avalanche Sites SL-43 
15306 15766 460 Cut & Cover Across Avalanche Sites SL-44 
16656 16806 150 Cut&Cover  Across Avalanche Sites SL-47 "
146,PDF page 146,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
121  
 
  
Typical Cut & Cover Section adopted is shown under: 
Fig. 7-1: Typical Cut & Cover Section 
Detailed Design Aspects of Tunnels are covered under Volume II Design Report. 
 
"
147,PDF page 147,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
122  
 
8 CHAPTER-8 ENVIRONMENTAL IMPACT ASSESSMENT 
8.1 OBJECTIVES OF THE ENVIRONMENTAL IMPACT ASSESSMENT (EIA) 
The main objective would be to alleviate the current unsafe and congested conditions of the 
identified road network connecting the villages and towns by providing better quality and safe roads 
to the users in a sustainable and environment friendly manner. 
Environmental Impact Assessment (EIA) has been conceived as an integral part of developing the 
project road as Green Highway, so that the project can facilitate economic stimulation and 
improvement to community and cultural assets by integrating environmental enhancement 
measures along the project corridors through community partnering. 
A detailed Environmental Impact Assessment (EIA) Report  and Environmental Management Plan 
(EMP) is attached as a separate volume Vol IV. 
 "
148,PDF page 148,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
123  
 
CHAPTER-9 COST ESTIMATE 
9.1 GENERAL 
This Chapter deals the Cost Estimate for the preparation of Detailed Project Report and providing Pre-
Construction Activities:- (i)For construction of Approach Roads with Avalanche Protection Works to 
West and East portal of the proposed Zojila Tunnel (between Baltal and Minamarg) from Km 82.000 
to Km 95.000 on Srinagar -Leh Road (NH -1) and;(ii).For making the NH -1 from Z -Morh Tunnel to 
proposed Zojila Tunnel (approx. 20 km) all weather road in the State of Jammu & Kashmir. 
As discussed in the previous chapters the project would construction of Approach Roads with 
Avalanche Protection Works, construction of cross -drainage and road appurtenances  etc. This cost 
estimate has been worked out using TCS drawings, Gad Drawings, quantities for different items of 
works derived from the design and unit rates derived from the schedule of Rates/Market. 
9.2 METHODOLOGY 
The following procedure has been adopted for the estimation: 
• The rates of various items of construction work have been analysed as per procedure laid 
down in the “MORT&H Standard Data Book” -2003 (Fourth Revision, Reprint 2006) and 
guidelines set there in. 
• Machinery rates rentals of as per J&K Revised Schedule of Rates 2012 w.e.f 01.06.13 published 
by Public Works Department, Jammu and Kashmir year 2012 with escalation to arriver 
current rate. 
• The unit rates of Labour is considered as per Schedule of Rates, Public Works Department, 
Jammu and Kashmir year 2012 with escalation to arriver current rate. 
• The rates of cement, Steel and Bitumen which have been provided as per current market 
rates.  
• Computation of quantities of earthwork and other components of road worked out from TCS 
drawings and computed. 
• Computation of cost of bridges from their General Arrangement Drawings by working out the 
quantities.  
• Estimation of cost of land acquisition, resettlement and rehabilitation costs, utility relocation 
and environment mitigation measures as per detailed assessment of their costs. 
• Estimation of allowances for contingencies and supervision charges as percentage of civil cost. 
• Estimation of total project cost. 
9.3 UNIT RATES 
The rates of various items of construction work have been analysed as per procedure laid down in the 
“MORT&H Standard Data Book”-2003 (Fourth Revision, Reprint 2006) and guidelines set therein.  For 
road embankment borrow areas have been identified along the project road. For stone metal quarries 
have been identified along the road. Average lead has been worked out for earth and stone metal and 
cartage cost has been provided at State Schedule of Rates. The unit rates have been worked out by 
taking the cost of materials as provided in the State Schedule of Rates (except for cement steel and 
bitumen for which market rates have been provided). The component of labour, material and "
149,PDF page 149,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
124  
 
machinery has been provided as per Standard Data Book of the Ministry of Road Tra nsport and 
Highways. 
9.4 CONSTRUCTION QUANTITIES 
For study the quantities of pavement have been worked out as per proposed TCS drawings. Detailed 
Cut and fill volumes are generated from MX Road software and taken into earthwork consideration. 
Quantities of cul verts and Minor/Snow Gallery/cut & cover Structures have been worked out from 
respective drawings. The cost of land acquisition, resettlement and rehabilitation costs, utility 
relocation costs and environmental mitigation measures have been provided as per  preliminary 
assessment of their costs. Estimates for allowances for contingencies and supervision charges have 
been provided as percentage of total cost. 
9.5 PAVEMENT DESIGN OPTIONS 
Flexible pavement has been considered for main carriageway as per the recommended proposal and 
Pavement Composition. Rigid pavement has been considered for Tunnel portion. 
9.6 COST COMPONENTS 
The estimated cost has been worked out under the following sub heads: - 
Site clearance and dismantling 
Under this sub head provision has been made for removing the roots of trees of girth more than 300 
mm and dismantling the structures, which are proposed to be reconstructed. 
Earth Work 
This sub head provides for items of earth work in excavation, embankment, sub grade and shoulders.  
Sub Base and Base Courses 
The items of cement sub base, cement base and Aggregate Inter Layer have been provided under this 
sub head for flexible pavement.(option-1) 
The items of granular sub base, wet mix macadam have been provided under this sub head for flexible 
pavement.(option-2) 
Bituminous Courses/Cement Concrete pavement 
This sub head provides for items of bituminous courses for flexible pavement. Rigid Pavement for 
Tunnel portion. 
Culverts 
Additional new Culverts is provided based on hydrological investigatio n. The schedule of widening 
and providing new culverts are fixed up and accordingly the different types of culverts (box) quantities 
are worked out from the standard drawings or from the available drawings of the particular project. "
150,PDF page 150,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
125  
 
Further the abstract of Quantities is prepared for all the culverts and the Abstract of cost is prepared 
by multiplying the rates. 
Minor /Major Structures 
The quantities for reconstruction/widening/rehabilitation of Minor / Major Structures are considered 
under this head.  
Cut & Cover /Snow gallery 
The quantities for Construction of Cut & Cover/snow Gallery are considered under this head.  
Tunnel 
The quantities for Construction of Tunnel are considered under this head.  
Traffic signs, Markings & Road Appurtenances 
The road traffi c signs and road markings for the project are provided as per IRC standards. This 
includes the quantities of road markings, road signs (all kinds), crash barriers and street lightings 
required for main highway as well as service roads. 
Drainage and Protective Works 
All works relating to longitudinal drainage requirements, lined and unlined drains/ditches, 
embankment slope protection works are covered here.  
Traffic management system 
This section includes the items required for providing Traffic Management System. 
Miscellaneous items 
Under this sub head provision has been made for the following main items. 
Routine Maintenance During Construction 
Under this sub head provision has been made for the following main items. 
Miscellaneous items (snow clearance, Maintenance etc) 
Under this sub head provision has been made for the following main items. 
9.7 CONTINGENCIES AND SUPERVISION COSTS 
The following provision has been made for contingency and supervision cost: 
• Contingencies - 2.8% 
• Supervision Charges - 3% 
• Agency charges - 3 % 
• GST - 12% 
9.8 PROJECT COST 
The total cost includes Contingencies, Supervision charges, Agency charges. General Abstract of cost 
is enclosed as follows: 
Table 0-1: Summary of Cost 
 
Bill No. Description Amount (Rs.)  
1 Site Clearance & Dismantling                                 "
151,PDF page 151,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
126  
 
674,892  
2 Earthwork                           
235,669,721  
3 Sub-Base, Base Courses (Granular)                            
93,776,006  
4 Bituminous Courses / Concrete Pavements                            
42,330,165  
4 (a) Reinforced Earth Embankment                           
568,114,052  
5 Cross Drainage Structures                            
68,822,455  
6 Major Bridges & Minor Bridges                           
223,486,418  
6.1 Cut And Cover                         
3,251,436,941  
6.2 Snow Gallery                            
450,369,654  
7 Drainage & Protection Works                           
296,828,139  
8 Traffic Signs, Road Markings & Appurtenances                            
36,937,037  
9 Catch Dams and Deflection Structures                           
287,721,496  
 Total Construction Cost --- (A) 5,556,166,975 
 GST @ 12% of (A) 666,740,037 
  Total Construction Cost --- (B) 6,222,907,012 
10 Contingencies @ 2.8% of (A)                            
155,572,675  
11 Supervision charges @ 3% of (A)                           
166,685,009  
12 Agency Charges @ 3% of (A)                           
166,685,009  
13 Escalation @ 5% of (B) per annum for 2nd & 3rd years' 
(Construction period 3 Year) 
                          
622,290,701  
14 Snow Clearance (For 5 Year Defect Lability Period)                           
137,534,640  
  Total Estimated Project Cost                        
7,471,675,048  "
152,PDF page 152,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
127  
 
15 Maintenance charges @ 0.5% for 2, 3 & 4th year & 1% for 5 years 
of (B) 
                          
155,572,675  
  Total Project Cost                        
7,627,247,723  
16 Pre-Construction Activities   
(i) Shifting of utilities                                  
136,711  
(ii) Environment Mitigation Cost                             
19,155,858  
(iii) Provision for LA and FC                             
64,094,921  
  Total Capital Cost (INR) 7,710,635,213 "
153,PDF page 153,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
128  
 
10 CHAPTER-10 ECONOMIC AND FINANCIAL ANALYSIS 
10.1 ECONOMIC ANALYSIS 
Any infrastructure project, which is in terms of improving the existing facility, is subjected to economic 
and financial analysis, to establish its viability and ensure that the investment proposed would yield 
appropriate return either to the national economy of the private/ public investor. The present study 
envisages the use of Highway Development and Management model hereafter referred as HDM-4 for 
undertaking economic analysis of the implementation of improvement proposals on the said project 
Corridor. 
10.2  METHODOLOGY FOR APPRAISAL 
The appraisal has been carried out within the framework of ‘with’ and without’ the project situations.  
‘Without’ the project situation is the one in which the projected traffic would continue to move on 
the existing two-lane road which will require certain minimum routine and periodic maintenance for 
upkeep of the facility.  In the case of ‘with’ project situation, the traffic would use the improved facility, 
which is two lane carriageways with paved shoulders facility. 
The benefits due to improvements are the saving in vehicle operation cost, saving in time and other 
caused benefits. The cost of the project is subtracted from benefits accruing year wise and discounted 
to work out the Economic Internal Rate of Return with the help of HDM-4 software. In the economic 
appraisal, all the financial estimates of costs and benefits are converted to economic costs by applying 
necessary factors. 
10.3 BASIC INPUT DATA 
Implementation of the project road improvements is conceived to be carried out in three packages as 
follows:- 
Table 10-1: Project Detail Package-wise 
 
Economic Analysis has been exercised as a whole project. 
10.4 GENERAL DATA 
Physical characteristics data of each link pertains to altitude/rainfall, existing road geometry, 
pavement (structure, strength and condition) sub grade strength and construction/maintenance 
history and derived from field survey and investigations carried out for the project and presented in 
the earlier Chapter. The data reveals that the physical characteristics for entire project length are 
quite uniform and homogeneous. 
10.5 PROJECT COST 
Project costs based on engineering design have been worked out and given in earlier chapter. A 
conversion factor of 0.85 has been used to convert financial costs to economic costs. For economic 
 Start Chainage End Chainage Length (km) 
Approach Road-1 9+760 17+814 8.054 
Approach Road-2 0+000 0+660 0.660 "
154,PDF page 154,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
129  
 
evaluation, base costs have been taken as factor costs of civil works and other costs related to social, 
environmental and utility relocations. Link-wise economic and financial costs are given below: 
Table 10-2: Package – wise Costing in Rupees 
 Economic Cost Financial Cost 
Project 7,710,635,213 - 
In addition to project cost routine and periodic maintenance cost has been worked out for the project 
road. A construction period of 5 years (2018, 19, 20, 21 and 22) has been envisaged with a phasing of 
30%, 40%, 20%, 5% and 5% respectively. The proposed improved project road will have 2.8 Km of rigid 
pavement and 15.03 Km of flexible pavement. Based on the ratio following table gives the 
maintenance cost of the project. 
Table 10-3: Maintenance Cost in Rupees 
Sl No. Maintenance Cost 
1 Reconstruction @ 10 IRI                        20000/ Sq. m. 
2 Drainage 1000/ Sq. m. 
3 Routine Edge  5000/ Sq. m. 
4 Potholes 4000/ Sq. m. 
 Patching 4000/ Sq. m. 
5 Crack Sealing 1000/ Sq. m. 
6 Shoulder Repair 10000/ Sq. m. 
10.6 EXISTING ROAD ROUGHNESS AND GEOMETRY 
Prevailing road conditions have been provided in Appendix 7.2. Physical condition of project road used 
for economic analyses is derived from road condition survey. The inputs used for economic analyses 
are provided in table below:- 
Table 10-4: Package-Wise Present Road Condition 
 Project 
End of Year 2017 
IRI 3.0 
All structural Cracks 2.0 
Ravelled Area 2.0 
Number of Potholes 1.00 
Edge Break Area m2/km 6.0 
Mean Rut Depth 1.00 
Texture Depth 0.30 
Skid Resistance 0.40 
Drainage Very Poor 
 
10.7 ECONOMIC COST OF VEHICLE PARAMETERS "
155,PDF page 155,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
130  
 
Economic Costs of vehicle and tyre are derived from the online market data of Jammu and Kashmir. 
Representative retail price for each category of vehicle have been collected. Elements of taxes and 
duties applicable have been removed to arrive at the economic costs.  
Details of derived economic costs for each vehicle category are presented in Table 12.8. Summary is 
given below: 
Table 10-5: Details of Vehicle Category 
Categor
y 
Two Three Medium Bus LCV 2 Axle 3 Axle Multi 
Axle 
Wheeler Wheeler Car Truck Truck Truck 
Vehicle 40000 60000 250000 1050000 654000 1800000 2300000 2600000 
Tyre 1000 328 3000 14000 6000 14000 18000 20000 
10.7.1 MAINTENANCE LABOUR AND CREW COSTS  
Based on the market survey and inquiries from the various organisations in Jammu and Kashmir, the 
maintenance labour cost/hr and wages/hour has been evaluated.  Rates have been compared with 
that adopted for the recent studies before arriving at reasonable values. 
Table  10-6: Maintenance Labour and Crew Costs Details 
Category 
Two Medium 
Bus 
LCV 2 Axle 3 Axle Multi Axle 
Wheeler Car  Truck Truck Truck 
Maint. Labour 40.61 60.92 126.93 101.54 101.54 101.54 101.54 
Crew Wage 0 25.38 116.97 45.69 76.15 91.38 91.38 
10.7.2 PASSENGER TIME-DELAY COSTS 
Time value of passengers (Work trips and Non Work Trips) is arrived based on “Manual of Economic 
evaluation of Highway Projects in India (“IRC SP:30 -2009”). The Values of 2009 are upgraded by 
considering Whole Sale Price Index Ratio for the year 2009 and 2015. Non work time value of 
passenger is considered 15% and work time value of passenger is considered 85% of time value of 
passengers as suggested in IRC SP:30 -2009”. The adopted values are s ummarised as given in table 
below. 
Adopted time delay cost for the project in year 2018 is given below. 
Table 10-7: Maintenance Labour and Crew Costs Details 
 
Eq. Work- Eq. Non-work Eq. Work- Eq. Non-work 
Time Value in 
2009 
Time Value in 
2009 
*Time Value in 
2019 
*Time Value in 
2019 
Car/ Taxi 55.9 14.0 98.52 28.98 
2 W/ 3W 28.0 8.0 27.20 8.00 
Minibus 33.6 9.8 33.58 9.88 
Bus 21.4 5.3 36.98 10.88 
*Taking Consideration of WPI "
156,PDF page 156,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 
131  
 
Interest 
An economic interest rate of 12% has been adopted based on opportunity cost of capital 
10.8 SENSITIVITY ANALYSIS 
Two critical factors could affect the viability of the project and these are the Capital Cost and traffic 
level. The capital cost can increase or the expected traffic growth could not materialise or both factors 
could occur simultaneously sensitivity check using the following parameters has been carried out: 
▪ Sensitivity Option S1 Base Scenario 
▪ Sensitivity Option S2 New Scenario with increase in cost by 15% 
▪ Sensitivity Option S3 New Scenario with reduction in base benefits by 15% 
▪ Sensitivity Option S4 New Scenario with increase in cost by 15% and reduction in 
base benefits by 15% 
 
10.9 ECONOMIC ANALYSIS RESULTS 
The EIRR and NPV (at 12%) for each link and section along with sensitivity analysis was carried out and 
it was found that the project is considered as economically unviable. Though the factors like Tourism 
and Defence governs this project, hence the project is recommended in the national interest 
10.10 CONCLUSIONS 
Due to defence and national interest this project has critical importance though the project is not 
showing any economic viability but overall it is strategic in nature and therefore recommended for 
construction. 
 "
157,PDF page 157,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 
 
  Draft Detailed Project Report | Revision No. 0 | Page | 132  
 
11 CHAPTER 11: WINTER ROAD MAINTENANCE 
11.1 WINTER MAINTENANCE MECHANISM IN SNOW BOUND AREAS 
Driving in snowy regions like Zojila is certainly affected by increased braking distance, reduced tire -
traction, slow reaction of tires to the steering, poor visibility, less fuel efficiency, etc. Often, when it 
snows, traffic is often paralysed for about 4-5 months in this area. To ensure, a reliable and  safe flow of 
road traffic during the winter season, the road should be maintained and cleared with a proper 
mechanism. A proper mechanism consists of collecting road and weather information, analysing the 
condition, taking necessary action and informing the respective authorities and users. Thus, an effective 
winter road maintenance with proper mechanism can save cost with other benefits like increased safety 
on the roads, increased flow of traffic and decreased environmental negative impacts in winter time. This 
chapter deals with an overview of winter maintenance mechanism being performed of snow bound areas 
in some of the cold countries.  
11.2 WEATHER INFORMATION SYSTEM 
Effective management of winter road maintenance is only possible on the basis of relevant information 
about current and future road weather and surface conditions on specific road sections. Along with this, 
the information about the real-time movements of maintenance vehicles create the basis for support of 
winter maintenance decision process a nd for efficient fleet management. For this purpose, a Road 
Weather Information System is proposed for such areas. 
 
 
Fig. 11-1: RWIS – Road weather information system (Source: Snow and ice data book 2006) 
"
